classificacao_risco;perdas_normalizadas;fabricante;tipo_combustivel;aspiracao;num_portas;tipo_carroceria;tracao;localizacao_motor;distancia_eixos;comprimento;largura;altura;peso;tipo_motor;num_cilindros;tamanho_motor;sistema_combustivel;diametro_cilindro;curso_pistao;taxa_compressao;potencia;rpm_maximo;consumo_cidade;consumo_estrada;preco
3;?;alfa-romero;gasolina;padrao;duas;conversivel;traseira;frontal;88.6;168.8;64.1;48.8;2548;dohc;quatro;130;mpfi;3.47;2.68;9.0;111;5000;21;27;16500
1;?;alfa-romero;gasolina;padrao;duas;hatchback;traseira;frontal;94.5;171.2;65.5;52.4;2823;ohcv;seis;152;mpfi;2.68;3.47;9.0;154;5000;19;26;16500
2;164;audi;gasolina;padrao;quatro;sedan;dianteira;frontal;99.8;176.6;66.2;54.3;2337;ohc;quatro;109;mpfi;3.19;3.40;10.0;102;5500;24;30;13950
2;164;audi;gasolina;padrao;quatro;sedan;quatro_rodas;frontal;99.4;176.6;66.4;54.3;2824;ohc;cinco;136;mpfi;3.19;3.40;8.0;115;5500;18;22;17450
2;?;audi;gasolina;padrao;duas;sedan;dianteira;frontal;99.8;177.3;66.3;53.1;2507;ohc;cinco;136;mpfi;3.19;3.40;8.5;110;5500;19;25;15250
1;158;audi;gasolina;padrao;quatro;sedan;dianteira;frontal;105.8;192.7;71.4;55.7;2844;ohc;cinco;136;mpfi;3.19;3.40;8.5;110;5500;19;25;17710
1;?;audi;gasolina;padrao;quatro;perua;dianteira;frontal;105.8;192.7;71.4;55.7;2954;ohc;cinco;136;mpfi;3.19;3.40;8.5;110;5500;19;25;18920
1;158;audi;gasolina;turbo;quatro;sedan;dianteira;frontal;105.8;192.7;71.4;55.9;3086;ohc;cinco;131;mpfi;3.13;3.40;8.3;140;5500;17;20;23875
0;?;audi;gasolina;turbo;duas;hatchback;quatro_rodas;frontal;99.5;178.2;67.9;52.0;3053;ohc;cinco;131;mpfi;3.13;3.40;7.0;160;5500;16;22;?
2;192;bmw;gasolina;padrao;duas;sedan;traseira;frontal;101.2;176.8;64.8;54.3;2395;ohc;quatro;108;mpfi;3.50;2.80;8.8;101;5800;23;29;16430
0;192;bmw;gasolina;padrao;quatro;sedan;traseira;frontal;101.2;176.8;64.8;54.3;2395;ohc;quatro;108;mpfi;3.50;2.80;8.8;101;5800;23;29;16925
0;188;bmw;gasolina;padrao;duas;sedan;traseira;frontal;101.2;176.8;64.8;54.3;2710;ohc;seis;164;mpfi;3.31;3.19;9.0;121;4250;21;28;20970
