Resume,Price,Location,Bedrooms,Bathrooms,Area,Link,Contact,Listing Time
VACANT I SPACIOUS I GREAT LOCATION,"210,000 AED/year","Topanga, DAMAC Hills, Dubai",3,4,"2,725 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-damac-hills-topanga-13533620.html,tel:+971565114689,Listed 8 days ago
CHILLER FREE | Pristine condition | Vacant,"99,999 AED/year","Burj Views podium, Burj Views, Downtown Dubai, Dubai",1,1,757 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-burj-views-burj-views-podium-13563480.html,tel:+971585859840,Listed 4 days ago
Large End Corner | Vacant Now | 2 Cheques,"265,000 AED/year","Elan, Tilal Al Ghaf, Dubai",4,4,"2,354 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-tilal-al-ghaf-elan-13529378.html,tel:+971565073045,Listed 9 days ago
Largest Corner Plot | Vacant March | 1E,"285,000 AED/year","Reem Community, Arabian Ranches 2, Dubai",4,4,"2,650 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-arabian-ranches-2-reem-community-13491959.html,tel:+971565203258,Listed 13 days ago
High Floor I Full Palm View | Upgraded Unit,"425,000 AED/year","Jumeirah Gate Tower 2, The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai",2,2,"1,168 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-the-address-jumeirah-resort-and-spa-jumeirah-gate-tower-2-13530506.html,tel:+971508848284,Listed 8 days ago
Large Corner Plot | Landscaped | Brand New,"300,000 AED/year","Murooj Al Furjan, Al Furjan, Dubai",4,5,"3,721 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-al-furjan-murooj-al-furjan-13180557.html,tel:+971506236680,Listed 1 month ago
Exclusive 3BR Single Row Townhouse Facing the Park,"255,000 AED/year","Murooj Al Furjan, Al Furjan, Dubai",3,4,"2,566 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-al-furjan-murooj-al-furjan-13318280.html,tel:+971505926588,Listed 1 month ago
High Floor | Kitchen Appliances | Brand New Unit,"160,000 AED/year","Hartland Greens, Sobha Hartland, Mohammed Bin Rashid City, Dubai",2,3,"1,202 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-mohammed-bin-rashid-city-sobha-hartland-hartland-greens-13546828.html,tel:+971565152596,Listed 7 days ago
Chiller Free | Mid Floor | U Shape kitchen,"75,000 AED/year","Azizi Shaista Residences, Al Furjan, Dubai",1,2,782 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-al-furjan-azizi-shaista-residences-13510974.html,tel:+971506368213,Listed 10 days ago
Fully Furnished | Amazing View | Luxury Living,"144,999 AED/year","La Voile, La Mer, Jumeirah, Dubai",1,1,810 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-la-mer-la-voile-13584577.html,tel:+971564185765,Listed 2 days ago
VACANT - UNFURNISHED - PARTIAL MARINA VIEW,"128,000 AED/year","Continental Tower, Dubai Marina, Dubai",2,3,"1,210 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-continental-tower-13444368.html,tel:+971565047829,Listed 18 days ago
Corner Unit | Close to Pool | Bigger Plot,"240,000 AED/year","La Rosa 4, Villanova, Dubai Land, Dubai",4,4,"2,325 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-land-villanova-la-rosa-4-13540273.html,tel:+971561990719,Listed 7 days ago
"Private Pool | Underground Floor | BUA: 3,108.00","300,000 AED/year","Springs 9, The Springs, Dubai",3,3,"3,108 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-the-springs-springs-9-13546789.html,tel:+971565152436,Listed 7 days ago
Corner and End Unit | Prime Location | Brand New,"160,000 AED/year","Noya Viva, Noya, Yas Island, Abu Dhabi",3,4,"2,179 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-abu-dhabi-yas-island-noya-noya-viva-13487680.html,tel:+97144090911,Listed 14 days ago
Exclusive |  3 BR + Maid&#39;s Room | Huge Layout,"285,000 AED/year","Casa, Arabian Ranches 2, Dubai",3,4,"4,522 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-arabian-ranches-2-casa-13463174.html,tel:+971559267991,Listed 16 days ago
High Floor | 1 Bedroom plus Study | Vacant,"160,000 AED/year","The Onyx Tower 2, The Onyx Towers, Greens, Dubai",1,2,"1,442 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-greens-the-onyx-towers-the-onyx-tower-2-13538180.html,tel:+97144090962,Listed 8 days ago
